珠光宝气	zhu guang bao qi
目光如炬	mu guang ru ju
重于泰山	zhong yu tai shan
一表人材	yi biao ren cai
秋高气爽	qiu gao qi shuang
道貌岸然	dao mao an ran
千变万化	qian bian wan hua
老生常谈	lao sheng chang tan
大风大浪	da feng da lang
化整为零	hua zheng wei ling
沁人心脾	qin ren xin pi
将功补过	jiang gong bu guo
同舟共济	tong zhou gong ji
意气相投	yi qi xiang tou
各执一词	ge zhi yi ci
穷山僻壤	qiong shan pi rang
蛮横无理	man heng wu li
忘恩负义	wang en fu yi
一事无成	yi shi wu cheng
所见所闻	suo jian suo wen
人困马乏	ren kun ma fa
疲惫不堪	pi bei bu kan
朝夕相处	zhao xi xiang chu
能上能下	neng shang neng xia
理所当然	li suo dang ran
见多识广	jian duo shi guang
心狠手辣	xin hen shou la
以牙还牙	yi ya huan ya
名噪一时	ming zao yi shi
公正严明	gong zheng yan ming
不能自拔	bu neng zi ba
大汗淋漓	da han lin li
十恶不赦	shi e bu she
目无法纪	mu wu fa ji
情深似海	qing shen si hai
悬梁刺股	xuan liang ci gu
干脆利落	gan cui li luo
坐井观天	zuo jing guan tian
别具一格	bie ju yi ge
唯命是从	wei ming shi cong
青山绿水	qing shan lu shui
独立自主	du li zi zhu
繁荣富强	fan rong fu qiang
弄巧成拙	nong qiao cheng zhuo
深恶痛疾	shen wu tong ji
大书特书	da shu te shu
凯旋而归	kai xuan er gui
刻舟求剑	ke zhou qiu jian
嘘寒问暖	xu han wen nuan
满腹狐疑	man fu hu yi
秀外慧中	xiu wai hui zhong
童言无忌	tong yan wu ji
旗帜鲜明	qi zhi xian ming
猝不及防	cu bu ji fang
针锋相对	zhen feng xiang dui
喜不自禁	xi bu zi jin
能说会道	neng shuo hui dao
杯盘狼藉	bei pan lang ji
云开见日	yun kai jian ri
全神贯注	quan shen guan zhu
古往今来	gu wang jin lai
源源不绝	yuan yuan bu jue
宾至如归	bin zhi ru gui
缩手缩脚	suo shou suo jiao
根深叶茂	gen shen ye mao
蠢蠢欲动	chun chun yu dong
心慌意乱	xin huang yi luan
好事多磨	hao shi duo mo
一览无遗	yi lai wu yi
不分皂白	bu fen zao bai
扬扬得意	yang yang de yi
作威作福	zuo wei zuo fu
情真意切	qing zhen yi qie
单枪匹马	dan qiang pi ma
背信弃义	bei xin qi yi
人以群分	ren yi qun fen
不分彼此	bu fen bi ci
热泪盈眶	re lei ying kuang
高视阔步	gao shi kuo bu
开卷有益	kai juan you yi
先睹为快	xian du wei kuai
五内如焚	wu nei ru fen
慷慨陈词	kang kai chen ci
一点一滴	yi dian yi di
嬉皮笑脸	xi pi xiao lian
衣冠楚楚	yi guan chu chu
训练有素	xun lian you su
价廉物美	jia lian wu mei
占为己有	zhan wei ji you
势不可挡	shi bu ke dang
手到病除	shou dao bing chu
略逊一筹	lue xun yi chou
尽人皆知	jin ren jie zhi
勤勤恳恳	qin qin ken ken
强颜欢笑	qiang yan huan xiao
于心不忍	yu xin bu ren
不知进退	bu zhi jin tui
落井下石	luo jing xia shi
连绵不绝	lian mian bu jue
真心真意	zhen xin zhen yi
如梦初醒	ru meng chu xing
万事亨通	wan shi heng tong
倾家荡产	qing jia dang chan
排忧解难	pai you jie nan
泛滥成灾	fan lan cheng zai
置之脑后	zhi zhi nao hou
孤军奋战	gu jun fen zhan
始终如一	shi zhong ru yi
鹬蚌相争	yu bang xiang zheng
隔岸观火	ge an guan huo
触类旁通	chu lei pang tong
口是心非	kou shi xin fei
不分轻重	bu fen qing zhong
劳苦功高	lao ku gong gao
贪赃枉法	tan zang wang fa
外圆内方	wai yuan nei fang
衣衫褴褛	yi shan lan lu
坚强不屈	jian qiang bu qu
奋起直追	fen qi zhi zhui
龙腾虎跃	long teng hu yue
欲扬先抑	yu yang xian yi
一见钟情	yi jian zhong qing
以卵投石	yi luan tou shi
掩耳偷铃	yan er tou ling
痛不欲生	tong bu yu sheng
多事之秋	duo shi zhi qiu
应答如流	ying da ru liu
跃然纸上	yue ran zhi shang
破绽百出	po zhan bai chu
有凭有据	you ping you ju
滴水成冰	di shui cheng bing
付诸东流	fu zhu dong liu
同归于尽	tong gui yu jin
岁月如流	sui yue ru liu
危在旦夕	wei zai dan xi
铁石心肠	tie shi xin chang
吃里爬外	chi li pa wai
奋笔疾书	fen bi ji shu
毫不留情	hao bu liu qing
饥肠辘辘	ji chang lu lu
一片散沙	yi pian san sha
千篇一律	qian pian yi lu
各式各样	ge shi ge yang
英勇不屈	ying yong bu qu
机不可失	ji bu ke shi
轻手轻脚	qing shou qing jiao
刻不容缓	ke bu rong huan
易如翻掌	yi ru fan zhang
意犹未尽	yi you wei jin
人命关天	ren ming guan tian
情窦初开	qing dou chu kai
与虎谋皮	yu hu mou pi
深恶痛绝	shen wu tong jue
回天无力	hui tian wu li
旁门左道	pang men zuo dao
顺水推船	shun shui tui chuan
各有千秋	ge you qian qiu
拿手好戏	na shou hao xi
胆大包天	dan da bao tian
三心二意	san xin er yi
司空见惯	si kong jian guan
神不守舍	shen bu shou she
笑逐颜开	xiao zhu yan kai
一决胜负	yi jue sheng fu
眼疾手快	yan ji shou kuai
反复推敲	fan fu tui qiao
余音绕梁	yu yin rao liang
同床异梦	tong chuang yi meng
与人方便	yu ren fang bian
落地生根	luo di sheng gen
风吹草动	feng chui cao dong
逢场作戏	feng chang zuo xi
融汇贯通	rong hui guan tong
低三下四	di san xia si
飞来横祸	fei lai heng huo
富丽堂皇	fu li tang huang
实心实意	shi xin shi yi
由衷之言	you zhong zhi yan
嫌贫爱富	xian pin ai fu
狐朋狗友	hu peng gou you
言犹在耳	yan you zai er
出头之日	chu tou zhi ri
溜之大吉	liu zhi da ji
积土成山	ji shui wei shan
水泄不通	shui xie bu tong
功亏一篑	gong kui yi kui
行家里手	hang jia li shou
惊心动魄	jing xing dong po
一目十行	yi mu shi hang
讳莫如深	hui mo ru shen
如无其事	ru wu qi shi
守株待兔	shou zhu dai tu
乳臭未干	ru xiu wei gan
冠冕堂皇	guan mian tang huang
助纣为虐	zhu zhou wei nue
就地取材	jiu di qu cai
安安稳稳	an an wen wen
冲口而出	chong kou er chu
感人肺腑	gan ren fei fu
麻痹大意	ma bi da yi
千言万语	qian yan wan yu
一技之长	yi ji zhi chang
四面受敌	si mian shou di
臭味相投	xiu wei xiang tou
人穷志短	ren qiong zhi duan
动魄惊心	dong po jing xin
春光明媚	chun guang ming mei
千钧一发	qian jun yi fa
良辰美景	liang chen mei jing
咬紧牙关	yao jin ya guan
时来运转	shi lai yun zhuan
行尸走肉	xing shi zou rou
兵贵神速	bing gui shen su
东躲西藏	dong duo xi cang
大势已去	da shi yi qu
百战百胜	bai zhan bai sheng
外强中干	wai qiang zhong gan
装腔做势	zhuang qiang zuo shi
知难而退	zhi nan er tui
完整无缺	wan zheng wu que
剑拔弩张	jian ba nu zhang
狼窝虎穴	lang wo hu xue
一概而论	yi gai er lun
落花流水	luo hua liu shui
互相残杀	hu xiang can sha
有教无类	you jiao wu lei
名声扫地	ming sheng sao di
不切实际	bu qie shi ji
天怒人怨	tian nu ren yuan
形影相随	xing ying xiang sui
平分秋色	ping fen qiu se
刻苦耐劳	ke ku nai lao
有口难言	you kou nan yan
弹丸之地	dan wan zhi di
草船借箭	cao chuan jie jian
雷厉风行	lei li feng xing
宝刀未老	bao dao wei lao
夜深人静	ye shen ren jing
将错就错	jiang cuo jiu cuo
奋勇当先	fen yong dang xian
见贤思齐	jian xian si qi
游手好闲	you shou hao xian
不义之财	bu yi zhi cai
惊叹不已	jing tan bu yi
寒风刺骨	han feng ci gu
如鸟兽散	ru niao shou san
高山流水	gao shan liu shui
呼风唤雨	hu feng huan yu
黑白分明	hei bai fen ming
喜气洋洋	xi qi yang yang
不辞而别	bu ci er bie
谆谆教诲	zhun zhun jiao hui
自言自语	zi yan zi yu
博学多才	bo xue duo cai
将信将疑	jiang xin jiang yi
本性难移	ben xing nan yi
卓有成效	zhuo you cheng xiao
发愤图强	fa fen tu qiang
添油加醋	tian you jia cu
通情达理	tong qing da li
大动肝火	da dong gan huo
精忠报国	jing zhong bao guo
垂涎欲滴	chui xian yu di
一衣带水	yi yi dai shui
公平正直	gong ping zheng zhi
两肋插刀	liang lei cha dao
随心所欲	sui xin suo yu
装模做样	zhuang mo zuo yang
聪明过人	cong ming guo ren
有板有眼	you ban you yan
忠贞不渝	zhong zhen bu yu
一蹶不振	yi jue bu zhen
果然如此	guo ran ru ci
趋利避害	qu li bi hai
用武之地	yong wu zhi di
天道酬勤	tian dao chou qin
迥然不同	jiong ran bu tong
直截了当	zhi jie liao dang
一呼百应	yi hu bai ying
青云直上	qing yun zhi shang
哑口无言	ya kou wu yan
生搬硬套	sheng ban ying tao
酣畅淋漓	han chang lin li
理亏心虚	li kui xin xu
疾风劲草	ji feng jin cao
吹毛求疵	chui mao qiu ci
掷地有声	zhi di you sheng
铁板钉钉	tie ban ding ding
独力难支	du li nan zhi
防微杜渐	fang wei du jian
望风而逃	wang feng er tao
不可收拾	bu ke shou shi
叹为观止	tan wei guan zhi
趁火打劫	chen huo da jie
趁人之危	chen ren zhi wei
应对如流	ying dui ru liu
大义灭亲	da yi mie qin
开诚相见	kai cheng xiang jian
明枪暗箭	ming qiang an jian
国泰民安	guo tai min an
鬼斧神工	gui fu shen gong
天网恢恢	tian wang hui hui
一筹莫展	yi chou mo zhan
脸红耳赤	lian hong er chi
浑水摸鱼	hun shui mo yu
正中下怀	zheng zhong xia huai
无时无刻	wu shi wu ke
大街小巷	da jie xiao xiang
志在四方	zhi zai si fang
不时之需	bu shi zhi xu
事出有因	shi chu you yin
摇头晃脑	yao tou huang nao
海角天涯	hai jiao tian ya
灰心丧气	hui xin sang qi
丢三落四	diu san la si
不知深浅	bu zhi shen qian
言行不一	yan xing bu yi
人情冷暖	ren qing leng nuan
骇人听闻	hai ren ting wen
雅俗共赏	ya su gong shang
自作聪明	zi zuo cong ming
前程似锦	qian cheng si jin
偷梁换柱	tou liang huan zhu
感情用事	gan qing yong shi
欲盖弥彰	yu gai mi zhang
饥不择食	ji bu ze shi
彬彬有礼	bin bin you li
一气呵成	yi qi he cheng
一见如故	yi jian ru gu
闪烁其词	shan shuo qi ci
珠圆玉润	zhu yuan yu run
朝令夕改	zhao ling xi gai
争强好胜	zheng qiang hao sheng
耀武扬威	yao wu yang wei
不识抬举	bu shi tai ju
讳疾忌医	hui ji ji yi
身败名裂	shen bai ming lie
耸人听闻	song ren ting wen
持之以恒	chi zhi yi heng
茅塞顿开	mao se dun kai
十万火急	shi wan huo ji
邪门歪道	xie men wai dao
天旋地转	tian xuan di zhuan
求贤如渴	qiu xian ru ke
进退两难	jin tui liang nan
日以继夜	ri yi ji ye
有头有尾	you tou yuo wei
丢三拉四	diu san la si
大包大揽	da bao da lan
恩重如山	en zhong ru shan
火上添油	huo shang tian you
悔不当初	hui bu dang chu
碍手碍脚	ai shou ai jiao
不苟言笑	bu gou yan xiao
融为一体	rong wei yi ti
处之泰然	chu zhi tai ran
哀而不伤	ai er bu shang
博览群书	bo lan qun shu
贻笑大方	yi xiao da fang
无病呻吟	wu bing shen yin
人所共知	ren suo gong zhi
尽其所能	jin qi suo neng
重整旗鼓	chong zheng qi gu
大声疾呼	da sheng ji hu
不可言喻	bu ke yan yu
刻骨铭心	ke gu ming xin
入木三分	ru mu san fen
顺手牵羊	shun shou qian yang
朝不保夕	zhao bu bao xi
快马加鞭	kuai ma jia bian
生吞活剥	sheng tun huo bo
物极必反	wu ji bi fan
得意忘形	de yi wang xing
唇亡齿寒	chun wang chi han
捧腹大笑	peng fu da xiao
风云人物	feng yun ren wu
比比皆是	bi bi jie shi
宽洪大量	kuan hong da liang
群情鼎沸	qun qing ding fei
土崩瓦解	tu beng wa jie
痛快淋漓	tong kuai lin li
各行各业	ge hang ge ye
一望无垠	yi wang wu yin
毛遂自荐	mao sui zi jian
旧调重弹	jiu diao chong tan
灯火辉煌	deng huo hui huang
颠倒是非	dian dao shi fei
天真无邪	tian zhen wu xie
畏罪潜逃	wei zui qian tao
幡然悔悟	fan ran hui wu
画饼充饥	hua bing chong ji
废话连篇	fei hua lian pian
息事宁人	xi shi ning ren
按兵不动	an bing bu dong
好为人师	hao wei ren shi
不胫而走	bu jing er zou
手到擒来	shou dao qin lai
自命清高	zi ming qing gao
东张西望	dong zhang xi wang
大有裨益	da you bi yi
生死攸关	sheng si you guan
言之有理	yan zhi you li
璀璨夺目	cui can duo mu
摇头叹息	yao tou tan xi
言传身教	yan chuan shen jiao
地利人和	di li ren he
公事公办	gong shi gong ban
自不量力	zi bu liang li
从容不迫	cong rong bu po
不出所料	bu chu suo liao
独来独往	du lai du wang
上当受骗	shang dang shou pian
笨口拙舌	ben kou zhuo she
文过饰非	wen guo shi fei
潸然泪下	shan ran lei xia
大模大样	da mu da yang
誓不罢休	shi bu ba xiu
离经叛道	li jing pan dao
雪中送炭	xue zhong song tan
徒劳无功	tu lao wu gong
虎背熊腰	hu bei xiong yao
云开雾散	yun kai kai san
久闻大名	jiu wen da ming
纹丝不动	wen si bu dong
十字路口	shi zi lu kou
打退堂鼓	da tui tang gu
劈头盖脸	pi tou gai lian
实至名归	shi zhi ming gui
事关重大	shi guan zhong da
决一胜负	jue yi sheng fu
卧虎藏龙	wo hu cang long
无庸置疑	wu yong zhi yi
民不聊生	min bu liao sheng
如狼似虎	ru lang si hu
改头换面	gai tou huan mian
蛛丝马迹	zhu si ma ji
顾全大局	gu quan da ju
好学不倦	hao xue bu juan
雨后春笋	yu hou chun sun
金榜题名	jin bang ti ming
相知恨晚	xiang zhi hen wan
有声有色	you sheng you se
摇身一变	yao shen yi bian
能歌善舞	neng ge shan wu
喜笑颜开	xi xiao yan kai
三令五申	san ling wu shen
成年累月	cheng nian lei yue
扪心自问	men xin zi wen
不吝指教	bu lin zhi jiao
喜形于色	xi xing yu se
花枝招展	hua zhi zhao zhan
量入为出	liang ru wei chu
盛况空前	sheng kuang kong qian
七零八落	qi ling ba luo
屡见不鲜	lu jian bu xian
天赐良机	tian ci liang ji
名扬天下	ming yang tian xia
放下屠刀	fang xia tu dao
局促不安	ju cu bu an
意气风发	yi qi feng fa
变幻无常	bian huan wu chang
教导有方	jiao dao you fang
人多嘴杂	ren duo zui za
名不副实	ming bu fu shi
万籁俱寂	wan lai ju ji
沉思熟虑	chen si shu lu
和盘托出	he pan tuo chu
当之无愧	dang zhi wu kui
稳扎稳打	wen zha wen da
一览无余	yi lai wu yu
名山大川	ming shan da chuan
千差万别	qian cha wan bie
临阵脱逃	lin zhen tuo tao
生死存亡	sheng si cun wang
才气过人	cai qi guo ren
谦虚谨慎	qian xu jin shen
鼎鼎大名	ding ding da ming
化为泡影	hua wei pao ying
触目皆是	chu mu jie shi
兴味索然	xing wei suo ran
蒙在鼓里	meng zai gu li
黯然神伤	an ran shen shang
本来面目	ben lai mian mu
玩物丧志	wan wu sang zhi
尽收眼底	jin shou yan di
买椟还珠	mai du huan zhu
平淡无奇	ping dan wu qi
疑惑不解	yi huo bu jie
出人意外	chu ren yi wai
强弩之末	qiang nu zhi mo
勃然变色	bo ran bian se
相映成趣	xiang ying cheng qu
破涕为笑	po ti wei xiao
点点滴滴	dian dian di di
人言可畏	ren yan ke wei
事与愿违	shi yu yuan wei
历尽沧桑	li jin cang sang
大势所趋	da shi suo qu
顾名思义	gu ming si yi
苦中作乐	ku zhong zuo le
生离死别	sheng li si bie
胆颤心惊	dan chan xin jing
来龙去脉	lai long qu mai
引人注目	yin ren zhu mu
神气活现	shen qi huo xian
仓皇失措	cang huang shi cuo
百感交集	bai gan jiao ji
竭尽心力	jie jin xin li
置之不理	zhi zhi bu li
各有所长	ge you suo cheng
劳师动众	lao shi dong zhong
首当其冲	shou dang qi chong
玩火自焚	wan huo zi fen
受益无穷	shou yi wu qiong
扭转乾坤	niu zhuan qian kun
如梦方醒	ru meng fang xing
山明水秀	shan ming shui xiu
大败涂地	da bai tu di
惹是生非	re shi sheng fei
三顾茅庐	san gu mao lu
飞蛾扑火	fei e pu huo
狼狈不堪	lang bei bu kan
摩肩接踵	mo jian jie zhong
相安无事	xiang an wu shi
前因后果	qian yin hou guo
事半功倍	shi ban gong bei
破罐破摔	po guan po shuai
大器晚成	da qi wan cheng
明明白白	ming ming bai bai
大巧若拙	da qiao ruo zhuo
与世隔绝	yu shi ge jue
遮天蔽日	zhe tian bi ri
搬弄是非	ban nong shi fei
寥若晨星	liao ruo chen xing
不服水土	bu fu shui tu
心如刀绞	xin ru dao jiao
突飞猛进	tu fei meng jin
家常便饭	jia chang bian fan
一干二净	yi gan er jing
胡说八道	hu shuo ba dao
火急火燎	huo ji huo liao
一叶知秋	yi ye zhi qiu
一无可取	yi wu ke qu
初出茅庐	chu chu mao lu
古色古香	gu se gu xiang
危急关头	wei ji guan tou
形形色色	xing xing se se
犬牙交错	quan ya jiao cuo
愁眉苦脸	chou mei ku lian
战战兢兢	zhan zhan jing jing
天下为公	tian xia wei gong
重振旗鼓	chong zhen qi gu
别有风味	bie you feng wei
云消雾散	yun xiao wu san
沉默不语	chen mo bu yu
重蹈覆辙	chong dao fu zhe
过河拆桥	guo he chai qiao
一窍不通	yi qiao bu tong
闻鸡起舞	wen ji qi wu
恰到好处	qia dao hao chu
自怨自艾	zi yuan zi yi
鹤立鸡群	he li ji qun
一无所获	yi wu suo huo
怨气冲天	yuan qi chong tian
处心积虑	chu xin ji lu
千辛万苦	qian xin wan ku
眉飞眼笑	mei fei yan xiao
相得益彰	xiang de yi zhang
丝毫不差	si hao bu cha
人老珠黄	ren lao zhu huang
生气蓬勃	sheng qi bo bo
稍胜一筹	shao sheng yi chou
闭门思过	bi men si guo
易如反掌	yi ru fan zhang
不冷不热	bu leng bu re
百花争艳	bai hua zheng yan
一马当先	yi ma dang xian
绰绰有余	chuo chuo you yu
井底之蛙	jing di zhi wa
劳苦功高	lao ku gong gao
密密麻麻	mi mi ma ma
大张旗鼓	da zhang qi gu
日积月累	ri ji yue lei
风口浪尖	feng kou lang jian
笔下生花	bi xia sheng hua
天崩地裂	tian beng di lie
转忧为喜	zhuan you wei xi
齐心合力	qi xin he li
无边无际	wu bian wu ji
丧心病狂	sang xin bing kuang
逼上梁山	bi shang liang shan
精神涣散	jing shen huan san
不敢苟同	bu gan gou tong
晴天霹雳	qing tian pi li
闪烁其辞	shan shuo qi ci
人去楼空	ren qu lou kong
化为乌有	hua wei wu you
手不释卷	shou bu shi juan
大同小异	da tong xiao yi
青天白日	qing tian bai ri
抱打不平	bao da bu ping
以小见大	yi xiao jian da
自吹自擂	zi chui zi lei
一刀两断	yi dao liang duan
故态复萌	gu tai fu meng
显而易见	xian er yi jian
阳奉阴违	yang feng yin wei
鸠占鹊巢	jiu zhan que chao
遥遥无期	yao yao wu qi
有惊无险	you jing wu xian
停滞不前	ting zhi bu qian
万里长征	wan li chang zheng
一席之地	yi xi zhi di
奉公守法	feng gong shou fa
见义勇为	jian yi yong wei
相辅相成	xiang fu xiang cheng
神清气爽	shen qing qi shuang
聊以自慰	liao yi zi wei
引狼入室	yin lang ru shi
小题大做	xiao ti da zuo
喧宾夺主	xuan bin duo zhu
才疏学浅	cai shu xue qian
有口皆碑	you kou jie bei
独树一帜	du shu yi zhi
忐忑不安	tan te bu an
万事大吉	wan shi da ji
固执己见	gu zhi ji jian
席地而坐	xi di er zuo
有负众望	you fu zhong wang
伤天害理	shang tian hai li
束手无策	shu shou wu ce
前车可鉴	qian che ke jian
瞻前顾后	zhan qian gu hou
称兄道弟	cheng xiong dao di
有眼无珠	you yan wu zhu
两败俱伤	liang bai ju shang
鹏程万里	peng cheng wan li
见钱眼开	jian qian yan kai
硕果累累	shuo guo lei lei
十年寒窗	shi nian han chuang
独具慧眼	du ju hui yan
雨过天晴	yu guo tian qing
形单影只	xing dan ying zhi
大梦初醒	da meng chu xing
瞬息万变	shun xi wan bian
临机应变	lin ji ying bian
垂头丧气	chui tou sang qi
心心相印	xin xin xiang yin
八面威风	ba mian wei feng
提纲挈领	ti gang qie ling
满腔怒火	man qiang nu huo
助人为乐	zhu ren wei le
以身殉职	yi shen xun zhi
里应外合	li ying wai he
痛心疾首	tong xin ji shou
沸沸扬扬	fei fei yang yang
按捺不住	an na bu zhu
问心无愧	wen xin wu kui
险象环生	xian xiang huan sheng
语惊四座	yu jing si zuo
欲罢不能	yu ba bu neng
群策群力	qun ce qun li
百孔千疮	bai kong qian chuang
贪求无厌	tan qiu wu yan
恩将仇报	en jiang chou bao
坐视不理	zuo shi bu li
前所未有	qian suo wei you
一路顺风	yi lu shun feng
华而不实	hua er bu shi
别开生面	bie kai sheng mian
相貌堂堂	xiang mao tang tang
排山倒海	pai shan dao hai
相得益彰	xiang de yi zhang
大有作为	da you zuo wei
开诚布公	kai cheng bu gong
屡教不改	lu jian bu gai
事在人为	shi zai ren wei
奔流不息	ben liu bu xi
肃然起敬	su ran qi jing
留连忘返	liu lian wang fan
惟利是图	wei li shi tu
不足为奇	bu zu wei qi
相见恨晚	xiang jian hen wan
追本求源	zhui ben qiu yuan
起死回生	qi si hui sheng
气势磅礴	qi shi pang bo
柳暗花明	liu an hua ming
困兽犹斗	kun shou you dou
头昏眼花	tou hun yan hua
不寒而栗	bu han er li
天朗气清	tian lang qi qing
勤学苦练	qin xue ku zh
惊喜若狂	jing xi ruo kuang
先声夺人	xian sheng duo ren
奔走相告	ben zou xiang gao
名不虚传	ming bu xu chuan
十有八九	shi you ba jiu
劫富济贫	jie fu ji pin
可有可无	ke you ke wu
各执己见	ge zhi ji jian
没头没脑	mei tou mei nao
束手束脚	shu shou shu jiao
大摇大摆	da yao da bai
宽以待人	kuan yi dai ren
循循善诱	xun xun shan you
别无二致	bie wu er zhi
生机盎然	sheng ji ang ran
弹指之间	tan zhi zhi jian
无关紧要	wu guan jin yao
阿谀奉承	e yu feng cheng
恰中要害	qia zhong yao hai
察言观色	cha yan guan se
寸步不离	cun bu bu li
负荆请罪	fu jing qing zui
生龙活虎	sheng long huo hu
笨嘴拙舌	ben zui zhuo she
神魂颠倒	shen hun dian dao
波澜壮阔	bo lan zhuang kuo
扬眉吐气	yang mei tu qi
峰回路转	feng hui lu zhuan
无奇不有	wu qi bu you
诲人不倦	hui ren bu juan
洋洋洒洒	yang yang sa sa
妙趣横生	miao qu heng sheng
高风亮节	gao feng liang jie
已成定局	yi cheng ding ju
狼吞虎咽	lang tun hu yan
切中要害	qie zhong yao hai
先礼后兵	xian li hou bing
振振有词	zhen zhen you ci
无计可施	wu ji ke shi
孟母三迁	meng mu san qian
高深莫测	gao shen mo ce
妙笔生花	miao bi sheng hua
五光十色	wu guang shi se
步人后尘	bu ren hou chen
据为己有	ju wei ji you
恶性循环	e xing xun huan
所剩无几	suo sheng wu ji
简明扼要	jian ming e yao
耳熟能详	er shu neng xiang
一应俱全	yi ying ju quan
有始有终	you shi you zhong
穷困潦倒	qiong kun liao dao
夜郎自大	ye lang zi da
寡不敌众	gua bu di zhong
惊涛骇浪	jing tao hai lang
心神不宁	xin shen bu ning
威风扫地	wei feng sao di
躲躲闪闪	duo duo shan shan
交头接耳	jiao tou jie er
指指点点	zhi zhi dian dian
一挥而就	yi hui er jiu
一马平川	yi ma ping chuan
大有可为	da you ke wei
光阴似箭	guang yin si jian
事无巨细	shi wu ju xi
漠不关心	mo bu guan xin
一念之差	yi nian zhi cha
一石二鸟	yi shi er niao
无往不胜	wu wang bu sheng
生灵涂炭	sheng ling tu tan
天高气爽	tian gao qi shuang
立竿见影	li gan jian ying
黑白不分	hei bai bu fen
翻脸无情	fan lian wu qing
亦步亦趋	yi bu yi qu
笑而不答	xiao er bu da
秩序井然	zhi xu jing ran
指手画脚	zhi shou hua jiao
欢欣鼓舞	huan xin gu wu
清廉正直	qing lian zheng zhi
左右开弓	zuo you kai gong
横行天下	heng xing tian xia
不甘示弱	bu gan shi ruo
奋不顾身	fen bu gu shen
苍白无力	ang bai bui li
耿耿于怀	geng geng yu huai
豪情壮志	hao qing zhuang zhi
指鹿为马	zhi lu wei ma
火眼金睛	huo yan jin jing
张牙舞爪	zhang ya wu zhao
跃跃欲试	yue yue yu shi
不胜枚举	bu sheng mei ju
天下无敌	tian xia wu di
明日黄花	ming ri huang hua
座无空席	zuo wu kong xi
天南海北	tian nan hai bei
鸿鹄之志	hong hu zhi zhi
其乐融融	qi le rong rong
怒气冲天	nu qi chong tian
言谈举止	yan tan ju zhi
语重心长	yu zhong xin chang
不期而遇	bu qi er yu
魂不守舍	hun bu shou she
道听途说	dao ting tu shuo
只言片语	zhi yan pian yu
智勇双全	zhi yong shuang quan
车水马龙	che shui ma long
各显身手	ge xian shen shou
不分主次	bu fen zhu ci
总而言之	zong er yan zhi
声泪俱下	sheng lei ju xia
聊胜于无	liao sheng yu wu
逆来顺受	ni lai shun shou
叶落归根	ye luo gui gen
不卑不亢	bu bei bu kang
尊师重道	zun shi zhong dao
适得其反	shi de qi fan
丧尽天良	sang jin tian liang
固步自封	gu bu zi feng
大获全胜	da huo quan sheng
怒火冲天	nu huo chong tian
情投意合	qing tou yi he
大材小用	da cai xiao yong
梦寐以求	meng mei yi qiu
责无旁贷	ze wu pang dai
分秒必争	fen miao bi zheng
冒名顶替	mao ming ding ti
不耻下问	bu chi xia wen
循规蹈矩	xun gui dao ju
棋逢对手	qi feng dui shou
信口开河	xin kou kai he
一丝一毫	yi si yi hao
能者多劳	neng zhe duo lao
头晕目眩	tou yun mu xuan
心直嘴快	xin zhi zui kuai
牵强附会	qian qiang fu hui
夸大其辞	kua da qi ci
有的放矢	you di fang shi
恍然大悟	huang ran da wu
十拿九稳	shi na jiu wen
毫不含糊	hao bu han hu
一视同仁	yi shi tong ren
天旋地转	tian xuan di zhuan
老实巴交	lao shi ba jiao
独断专行	du duan zhuan xing
孜孜以求	zi zi yi qiu
吹灰之力	chui hui zhi li
心无城府	xin wu cheng fu
转危为安	zhuan wei wei an
目中无人	mu zhong wu ren
知错就改	zhi cuo jiu gai
风言风语	feng yan feng yu
反目成仇	fan mu cheng chou
揠苗助长	ya miao zhu zhang
独断专行	du duan zhuan xing
出人头地	chu ren tou di
九死一生	jiu si yi sheng
生花妙笔	sheng hua miao bi
耳濡目染	er ru mu ran
疲于奔命	pi yu ben ming
爱莫能助	ai mo neng zhu
含糊其词	han hu qi ci
近墨者黑	jin mo zhe hei
东躲西逃	dong duo xi tao
大逆不道	da ni bu dao
完璧归赵	wan bi gui zhao
听其自然	ting qi zi ran
盘根错节	pan gen cuo jie
十字路口	shi zi lu kou
小题大作	xiao ti da zuo
扶老携幼	fu lao xie you
众口纷纭	zhong kou fen yun
九牛一毛	jiu niu yi mao
至关重要	zhi guan zhong yao
匪夷所思	fei yi suo si
大饱眼福	da bao yan fu
杀气腾腾	sha qi teng teng
张口结舌	zhang kou jie she
引入歧途	yin ru qi tu
言而有信	yan er you xin
身无长物	shen wu zhang wu
声势浩大	sheng shi hao da
成双成对	cheng shuang cheng dui
留有余地	liu you yu di
截然不同	jie ran bu tong
如饥似渴	ru ji si ke
不择手段	bu ze shou duan
相敬如宾	xiang jing ru bin
悬而未决	xuan er wei jue
度日如年	du ri ru nian
功成身退	gong cheng shen tui
鸦雀无声	ya que wu sheng
危机四伏	wei ji si fu
动人心魄	dong ren xin po
痴心妄想	chi xin wang xiang
字里行间	zi li hang jian
光辉灿烂	guang hui can lan
博采众长	bo cai zhong chang
有胆有识	you dan you shi
令人捧腹	ling ren peng fu
世代相传	shi dai xiang chuan
形迹可疑	xing ji ke yi
不学无术	bu xue wu shu
劳民伤财	lao min shang cai
步步高升	bu bu gao sheng
仅此而已	jin ci er yi
闻风而动	wen feng er dong
慌张失措	huang zhang shi cuo
心灰意懒	xin hui yi lan
不可磨灭	bu ke mo mie
